 time            v(vin)          v(vdata)       
 1.84627649e-02  9.99998073e-01  2.11263402e+00 
 1.84627695e-02  1.00002929e+00  2.11296153e+00 
 1.84627746e-02  1.00006334e+00  2.11348461e+00 
 1.84627809e-02  1.00010627e+00  2.11474767e+00 
 1.84627836e-02  1.00012430e+00  2.11567324e+00 
 1.84627854e-02  1.00013636e+00  2.11659157e+00 
 1.84627869e-02  1.00014675e+00  2.11774786e+00 
 1.84627881e-02  1.00015451e+00  2.11899860e+00 
 1.84627892e-02  1.00016215e+00  2.12081727e+00 
 1.84627902e-02  1.00016876e+00  2.12321249e+00 
 1.84627910e-02  1.00017471e+00  2.12682992e+00 
 1.84627920e-02  1.00018124e+00  2.13371061e+00 
 1.84627927e-02  1.00018568e+00  2.13896392e+00 
 1.84627934e-02  1.00019060e+00  2.14438643e+00 
 1.84627945e-02  1.00019822e+00  2.15151253e+00 
 1.84627962e-02  1.00020956e+00  2.15884326e+00 
 1.84627985e-02  1.00022500e+00  2.16412099e+00 
 1.84628010e-02  1.00024228e+00  2.16640263e+00 
 1.84628034e-02  1.00025819e+00  2.16711958e+00 
 1.84628065e-02  1.00027922e+00  2.16740500e+00 
 1.84628105e-02  1.00030609e+00  2.16748377e+00 
 1.84628175e-02  1.00035384e+00  2.16747402e+00 
 1.84628278e-02  1.00042297e+00  2.16746492e+00 
 1.84628429e-02  1.00052540e+00  2.16743569e+00 
 1.84628598e-02  1.00063949e+00  2.16742085e+00 
 1.84628734e-02  1.00073120e+00  2.16739519e+00 
 1.84628857e-02  1.00081454e+00  2.16738778e+00 
 1.84628982e-02  1.00089938e+00  2.16736411e+00 
 1.84629116e-02  1.00098944e+00  2.16735597e+00 
 1.84629241e-02  1.00107406e+00  2.16733286e+00 
 1.84629366e-02  1.00115842e+00  2.16732595e+00 
 1.84629486e-02  1.00123979e+00  2.16730377e+00 
 1.84629608e-02  1.00132245e+00  2.16729719e+00 
 1.84629728e-02  1.00140359e+00  2.16727531e+00 
